0,0,HTML~ CSS for Web Developers 
1,1,A Crash Course in Data Science 
2,2,Combining and Analyzing Complex Data 
3,3,HTML~ CSS~ and Javascript for Web Developers 
4,4,Robotics 
5,5,Divide and Conquer~ Sorting and Searching~ and Randomized Algorithms 
6,6,Parallel~ Concurrent~ and Distributed Programming in Java 
7,7,Data Visualization with Tableau 
8,8,Introduction to People Analytics 
9,9,Cybersecurity 
10,10,System Validation (2): Model process behaviour 
11,11,Programming for Everybody (Getting Started with Python) 
12,12,Algorithms~ Part II 
13,13,Privacy~ Reputation~ and Identity in a Digital Age 
14,14,Big Data Essentials: HDFS~ MapReduce and Spark RDD 
15,15,Interactuando con el hardware del dispositivo iOS 
16,16,What is a Proof? 
17,17,Recommender Systems:  Evaluation and Metrics 
18,18,Genomic Data Science with Galaxy 
19,19,Cloud Computing Concepts: Part 2 
20,20,Character Design for Video Games 
21,21,Exploratory Data Analysis 
22,22,Data Science at Scale 
23,23,The Fundamentals of Computing Capstone Exam 
24,24,Introduction to Data Science in Python 
25,25,Data-driven Astronomy 
26,26,Probabilistic Graphical Models 3: Learning 
27,27,Basic Data Descriptors~ Statistical Distributions~ and Application to Business Decisions 
28,28,Data Science Math Skills 
29,29,Big Data - Capstone Project 
30,30,Google Cloud Platform Fundamentals for AWS Professionals 
31,31,Python Data Analysis 
32,32,Building Resilient Streaming Systems on Google Cloud Platform 
33,33,Data Structures and Algorithms 
34,34,Problem Solving with Excel  
35,35,Capstone: Retrieving~ Processing~ and Visualizing Data with Python 
36,36,Business Analytics and Digital Media 
37,37,Interfaz de usuario en iOS 
38,38,Digital Thread: Components 
39,39,Parallel programming 
40,40,Business Analytics 
41,41,Design and Analyze Secure Networked Systems 
42,42,Building R Packages 
43,43,Introduction to Structured Query Language (SQL) 
44,44,Inferential Statistics 
45,45,Cloud Networking 
46,46,Introduction to Spreadsheets and Models 
47,47,A developer's guide to the Internet of Things (IoT) 
48,48,Text Mining and Analytics 
49,49,Sequence Models 
50,50,Windows Server Management and Security 
51,51,Applied Machine Learning in Python 
52,52,Geodesign: Change Your World 
53,53,Cryptography I 
54,54,Statistics for Genomic Data Science 
55,55,Communicating Data Science Results 
56,56,Data Structures 
57,57,User Research and Design 
58,58,Testing with Agile 
59,59,Cybersecurity Policy for Water and Electricity Infrastructures 
60,60,Building Web Applications in PHP 
61,61,Game Design Document: Define the Art & Concepts 
62,62,Algorithmic Thinking (Part 2) 
63,63,Advanced Manufacturing Process Analysis 
64,64,Interprofessional Healthcare Informatics  
65,65,Software Development Processes and Methodologies 
66,66,Mobile Interaction Design: How to Design Usable Mobile Products and Services 
67,67,Data Visualization with Advanced Excel 
68,68,Big Data Applications: Real-Time Streaming 
69,69,Algorithms~ Part I 
70,70,Cybersecurity: Developing a Program for Your Business 
71,71,Matrix Factorization and Advanced Techniques 
72,72,Homeland Security and Cybersecurity Future 
73,73,Introduction to Graph Theory 
74,74,Design and Build a Data Warehouse for Business Intelligence Implementation 
75,75,Server-side Development with NodeJS~ Express and MongoDB 
76,76,iOS Development for Creative Entrepreneurs 
77,77,Data Structures and Performance 
78,78,Wireless Communication Emerging Technologies 
79,79,Full Stack Web and Multiplatform Mobile App Development 
80,80,Mastering the Software Engineering Interview 
81,81,Asymmetric Cryptography and Key Management 
82,82,Executive Data Science Capstone 
83,83,Data Mining  
84,84,Maps and the Geospatial Revolution 
85,85,Creative Programming for Digital Media & Mobile Apps 
86,86,Applied Plotting~ Charting & Data Representation in Python 
87,87,Greedy Algorithms~ Minimum Spanning Trees~ and Dynamic Programming 
88,88,An Introduction to Interactive Programming in Python (Part 1) 
89,89,Social Media Data Analytics 
90,90,Introduction to Neurohacking In R 
91,91,Machine Learning Foundations: A Case Study Approach 
92,92,Applied Cryptography 
93,93,Introduction to Formal Concept Analysis 
94,94,Understanding Your Data: Analytical Tools 
95,95,Data Mining Project 
96,96,Statistics with R 
97,97,Java Programming: Principles of Software Design 
98,98,Data Analysis and Presentation Skills: the PwC Approach 
99,99,Advanced Business Analytics 
100,100,Accounting Analytics 
101,101,Intelligent Machining 
102,102,A developer's guide to Exploring and Visualizing IoT Data 
103,103,Developing Android Apps with App Inventor 
104,104,Digital Signal Processing 
105,105,Code Yourself! An Introduction to Programming 
106,106,Programming Foundations with JavaScript~ HTML and CSS 
107,107,Object Oriented Programming in Java 
108,108,Structuring Machine Learning Projects 
109,109,Wharton Business and Financial Modeling Capstone 
110,110,Introduction to Big Data 
111,111,Hadoop Platform and Application Framework 
112,112,Introduction to TCP/IP 
113,113,An Introduction to Programming the Internet of Things (IOT) 
114,114,Rails with Active Record and Action Pack 
115,115,Big Data Modeling and Management Systems 
116,116,Web Application Development with JavaScript and MongoDB 
117,117,Managing Big Data with MySQL 
118,118,Pattern Discovery in Data Mining 
119,119,Getting Started: Agile Meets Design Thinking 
120,120,Build Your First Android App (Project-Centered Course) 
121,121,C++ For C Programmers~ Part B 
122,122,Data-driven Decision Making 
123,123,Machine Learning for Data Analysis 
124,124,Capstone:  Autonomous Runway Detection for IoT 
125,125,Computational Investing~ Part I 
126,126,Principles of Computing (Part 2) 
127,127,Mastering Software Development in R Capstone 
128,128,Survey Data Collection and Analytics  
129,129,Digital Analytics for Marketing Professionals: Marketing Analytics in Practice 
130,130,Fundamentals of Graphic Design 
131,131,Human-Centered Design: an Introduction 
132,132,Information Security: Context and Introduction 
133,133,Convolutional Neural Networks 
134,134,Home Networking Basics 
