software-development,Python for Everybody ,This Specialization builds on the success of the Python for Everybody course and will introduce fundamental programming concepts including data structures~ networked application program interfaces~ and databases~ using the Python programming language. In the Capstone Project~ you’ll use the technologies learned throughout the Specialization to design and create your own applications for data retrieval~ processing~ and visualization.
software-development,Applied Data Science with Python ,"The 5 courses in this University of Michigan specialization introduce learners to data science through the python programming language. This skills-based specialization is intended for learners who have basic a python or programming background~ and want to apply statistical~ machine learning~ information visualization~ text analysis~ and social network analysis techniques through popular python toolkits such as pandas~ matplotlib~ scikit-learn~ nltk~ and networkx to gain insight into their data.

Introduction to Data Science in Python (course 1)~ Applied Plotting~ Charting & Data Representation in Python (course 2)~ and Applied Machine Learning in Python (course 3) should be taken in order and prior to any other course in the specialization. After completing those~ courses 4 and 5 can be taken in any order. All 5 are required to earn a certificate."
software-development,Java Programming and Software Engineering Fundamentals ,Take your first step towards a career in software development with this introduction to Java—one of the most in-demand programming languages and the foundation of the Android operating system. Designed for beginners~ this Specialization will teach you core programming concepts and equip you to write programs to solve complex problems. In addition~ you will gain the foundational skills a software engineer needs to solve real-world problems~ from designing algorithms to testing and debugging your programs.
software-development,Data Structures and Algorithms ,This specialization is a mix of theory and practice: you will learn algorithmic techniques for solving various computational problems and will implement about 100 algorithmic coding problems in a programming language of your choice. No other online course in Algorithms even comes close to offering you a wealth of programming challenges that you may face at your next job interview. To prepare you~ we invested over 3000 hours into designing our challenges as an alternative to multiple choice questions that you usually find in MOOCs. Sorry~ we do not believe in multiple choice questions when it comes to learning algorithms...or anything else in computer science! For each algorithm you develop and implement~ we designed multiple tests to check its correctness and running time — you will have to debug your programs without even knowing what these tests are! It may sound difficult~ but we believe it is the only way to truly understand how the algorithms work and to master the art of programming. The specialization contains two real-world projects: Big Networks and Genome Assembly. You will analyze both road networks and social networks and will learn how to compute the shortest route between New York and San Francisco (1000 times faster than the standard shortest path algorithms!) Afterwards~ you will learn how to assemble genomes from millions of short fragments of DNA and how assembly algorithms fuel recent developments in personalized medicine.
software-development,Algorithms ,"Algorithms are the heart of computer science~ and the subject has countless practical applications as well as intellectual depth. This specialization is an introduction to algorithms for learners with at least a little programming experience. The specialization is rigorous but emphasizes the big picture and conceptual understanding over low-level implementation and mathematical details. After completing this specialization~ you will be well-positioned to ace your technical interviews and speak fluently about algorithms with other programmers and computer scientists.

About the instructor: Tim Roughgarden has been a professor in the Computer Science Department at Stanford University since 2004. He has taught and published extensively on the subject of algorithms and their applications."
software-development,Functional Programming in Scala ,"Discover how to write elegant code that works the first time it is run.

This Specialization provides a hands-on introduction to functional programming using the widespread programming language~ Scala. It begins from the basic building blocks of the functional paradigm~ first showing how to use these blocks to solve small problems~ before building up to combining these concepts to architect larger functional programs. You'll see how the functional paradigm facilitates parallel and distributed programming~ and through a series of hands on examples and programming assignments~ you'll learn how to analyze data sets small to large; from parallel programming on multicore architectures~ to distributed programming on a cluster using Apache Spark. A final capstone project will allow you to apply the skills you learned by building a large data-intensive application using real-world data."
software-development,Software Product Management ,In this Software Product Management Specialization~ you will master Agile software management practices to lead a team of developers and interact with clients. In the final Capstone Project~ you will practice and apply management techniques to realistic scenarios that you will face as a Software Product Manager. You will have the opportunity to share your experiences and learn from the insights of others as part of a Software Product Management
software-development,Fundamentals of Computing ,This Specialization covers much of the material that first-year Computer Science students take at Rice University. Students learn sophisticated programming skills in Python from the ground up and apply these skills in building more than 20 fun projects. The Specialization concludes with a Capstone exam that allows the students to demonstrate the range of knowledge that they have acquired in the Specialization.
software-development,Full Stack Web and Multiplatform Mobile App Development ,"Learn front-end and hybrid mobile development~ with server-side support~ for implementing a multi-platform solution.

The first two courses in this Specialization cover front-end frameworks: Bootstrap 4 and Angular. You’ll also learn to create hybrid mobile applications~ using the Ionic framework~ Cordova and NativeScript. On the server side~ you’ll learn to implement NoSQL databases using MongoDB~ work within a Node.js environment and Express framework~ and communicate to the client side through a RESTful API. Learners enrolling in this Specialization are expected to have prior working knowledge of HTML~ CSS and JavaScript.

Ideally learners should complete the courses in the specified sequence. It is strongly recommended that the Angular course be completed before proceeding with the Ionic and Cordova and/or the NativeScript course."
software-development,An Introduction to Programming the Internet of Things (IOT) ,"Design~ create~ and deploy a fun IoT device using Arduino and Raspberry Pi platforms.

This Specialization covers embedded systems~ the Raspberry Pi Platform~ and the Arduino environment for building devices that can control the physical world. In the final Capstone Project~ you’ll apply the skills you learned by designing~ building~ and testing a microcontroller-based embedded system~ producing a unique final project suitable for showcasing to future employers. Please note that this specialization does not offer discussion forums."
